Children_are_safe_among_family_members_such_as_grandparents_uncles_aunts_cousins,Children_are_mainly_abused_by_strangers_in_our_society,Male_children_dont_need_sexual_abuse_prevention_knowledge,Teaching_sexual_abuse_prevention_in_school_is_not_necessary_It_will_make_children_curious_about_sex,Do_you_know_what_child_grooming_is,Do_you_know_what_signs_to_look_for_to_identify_if_your_child_has_been_abused,Do_you_think_children_need_post_abuse_counseling_for_recovering,Do_you_think_you_should_take_legal_action_against_the_abuser_of_your_child,Knowledge_Level
disagree,disagree,agree,agree,Yes,No,No,Yes,beginner
disagree,disagree,agree,agree,No,No,Yes,Yes,beginner
agree,disagree,disagree,agree,Yes,Yes,No,Yes,beginner
agree,disagree,disagree,agree,No,Yes,No,Yes,beginner
agree,disagree,disagree,agree,No,No,No,Yes,beginner
agree,disagree,disagree,disagree,No,No,No,Yes,beginner
disagree,disagree,disagree,agree,No,Yes,Yes,Yes,intermediate
agree,agree,disagree,agree,No,No,Yes,Yes,beginner
agree,disagree,disagree,agree,Yes,Yes,Yes,Yes,intermediate
disagree,agree,disagree,disagree,No,Yes,Yes,Yes,beginner
agree,disagree,disagree,agree,No,Yes,Yes,Yes,intermediate
agree,disagree,disagree,agree,No,No,Yes,Yes,intermediate
disagree,disagree,disagree,disagree,Yes,No,Yes,Yes,beginner
disagree,disagree,agree,disagree,Yes,Yes,Yes,No,intermediate
disagree,agree,disagree,agree,No,No,No,Yes,beginner
disagree,disagree,disagree,agree,Yes,No,Yes,Yes,intermediate
disagree,disagree,disagree,disagree,Yes,Yes,Yes,Yes,intermediate
disagree,agree,disagree,disagree,No,No,Yes,Yes,beginner
disagree,agree,disagree,disagree,Yes,No,Yes,Yes,beginner
agree,agree,disagree,disagree,No,Yes,Yes,Yes,beginner
agree,agree,agree,agree,No,Yes,Yes,Yes,beginner
disagree,agree,disagree,disagree,No,No,No,Yes,beginner
agree,agree,agree,agree,No,No,Yes,Yes,beginner
disagree,agree,disagree,agree,No,No,No,No,beginner
agree,disagree,disagree,disagree,No,No,Yes,Yes,beginner
agree,disagree,disagree,disagree,Yes,No,Yes,No,beginner
agree,disagree,disagree,disagree,No,No,Yes,Yes,intermediate
agree,disagree,agree,disagree,No,No,Yes,No,beginner
agree,disagree,disagree,agree,No,No,Yes,No,beginner
agree,agree,disagree,disagree,No,Yes,Yes,Yes,intermediate
disagree,agree,disagree,agree,No,No,Yes,Yes,beginner
disagree,agree,disagree,agree,No,No,Yes,No,beginner
agree,agree,disagree,disagree,Yes,No,Yes,No,beginner
disagree,disagree,disagree,agree,No,Yes,Yes,Yes,beginner
disagree,disagree,agree,agree,Yes,Yes,Yes,Yes,intermediate
disagree,disagree,disagree,agree,No,No,Yes,No,beginner
disagree,disagree,agree,agree,No,No,Yes,No,beginner
agree,disagree,agree,agree,Yes,No,Yes,Yes,intermediate
agree,agree,agree,agree,No,No,Yes,No,beginner
agree,disagree,disagree,disagree,No,Yes,Yes,No,intermediate
agree,disagree,agree,agree,No,No,Yes,Yes,beginner
disagree,disagree,disagree,disagree,No,No,Yes,No,beginner
disagree,disagree,agree,agree,Yes,Yes,Yes,No,intermediate
agree,disagree,disagree,agree,No,Yes,Yes,No,intermediate
agree,agree,agree,disagree,No,No,Yes,Yes,beginner
disagree,disagree,disagree,disagree,Yes,No,Yes,Yes,intermediate
disagree,disagree,disagree,agree,No,Yes,Yes,No,beginner
agree,disagree,agree,disagree,Yes,Yes,No,Yes,beginner
disagree,disagree,disagree,disagree,No,No,No,No,beginner
agree,disagree,disagree,disagree,Yes,Yes,Yes,Yes,beginner
agree,agree,disagree,disagree,No,Yes,Yes,No,beginner
disagree,agree,agree,agree,No,Yes,Yes,Yes,beginner
disagree,disagree,agree,disagree,No,No,Yes,No,beginner
disagree,disagree,disagree,agree,Yes,Yes,Yes,Yes,intermediate
agree,disagree,agree,disagree,No,Yes,No,Yes,beginner
disagree,agree,agree,agree,Yes,Yes,Yes,Yes,beginner
agree,agree,agree,disagree,No,Yes,No,Yes,beginner
agree,disagree,disagree,agree,Yes,No,Yes,Yes,intermediate
disagree,agree,agree,disagree,Yes,No,Yes,Yes,intermediate
agree,disagree,agree,agree,No,No,Yes,No,beginner
agree,agree,disagree,disagree,Yes,No,Yes,Yes,intermediate
disagree,agree,disagree,agree,Yes,No,Yes,Yes,intermediate
disagree,disagree,disagree,agree,No,No,No,No,beginner
agree,disagree,disagree,agree,No,Yes,No,No,beginner
disagree,agree,disagree,agree,Yes,Yes,Yes,No,intermediate
agree,agree,disagree,agree,No,Yes,No,Yes,beginner
agree,disagree,disagree,disagree,Yes,Yes,Yes,No,intermediate
disagree,agree,disagree,disagree,Yes,Yes,No,Yes,intermediate
disagree,disagree,disagree,disagree,No,Yes,No,No,beginner
disagree,agree,disagree,disagree,No,No,No,No,beginner
disagree,disagree,disagree,disagree,No,No,No,Yes,beginner
disagree,agree,disagree,agree,No,Yes,Yes,Yes,beginner
disagree,disagree,agree,agree,No,No,No,No,beginner
disagree,agree,agree,agree,Yes,No,Yes,Yes,intermediate
disagree,agree,agree,agree,Yes,Yes,Yes,Yes,intermediate
agree,agree,agree,disagree,No,No,No,No,beginner
disagree,agree,agree,disagree,No,Yes,Yes,Yes,beginner
agree,agree,disagree,disagree,No,Yes,Yes,No,intermediate
agree,disagree,disagree,disagree,No,No,No,No,beginner
disagree,agree,agree,agree,No,No,Yes,Yes,beginner
disagree,disagree,disagree,disagree,Yes,Yes,Yes,Yes,beginner
disagree,disagree,disagree,disagree,No,Yes,Yes,Yes,beginner
disagree,disagree,agree,disagree,No,No,Yes,Yes,intermediate
agree,disagree,agree,disagree,Yes,No,Yes,No,beginner
disagree,agree,disagree,disagree,Yes,Yes,Yes,Yes,intermediate
disagree,disagree,agree,agree,No,No,No,Yes,beginner
agree,agree,agree,agree,Yes,Yes,Yes,Yes,beginner
agree,agree,disagree,disagree,No,No,No,No,beginner
agree,disagree,agree,disagree,No,No,Yes,Yes,beginner
disagree,agree,disagree,agree,No,Yes,Yes,No,beginner
disagree,agree,disagree,agree,No,Yes,No,No,beginner
disagree,disagree,disagree,agree,Yes,Yes,No,Yes,beginner
disagree,agree,agree,agree,No,No,Yes,No,beginner
disagree,disagree,agree,agree,No,Yes,Yes,Yes,intermediate
disagree,agree,agree,agree,No,No,No,No,beginner
agree,disagree,agree,disagree,No,Yes,Yes,Yes,beginner
agree,disagree,agree,agree,No,Yes,Yes,No,beginner
agree,disagree,disagree,disagree,No,Yes,Yes,Yes,beginner
disagree,disagree,disagree,agree,Yes,No,No,No,intermediate
agree,disagree,agree,disagree,No,No,No,Yes,beginner
disagree,agree,disagree,disagree,No,Yes,Yes,No,beginner
disagree,disagree,disagree,disagree,Yes,Yes,Yes,No,beginner
agree,disagree,agree,agree,Yes,Yes,Yes,No,beginner
disagree,disagree,disagree,agree,Yes,No,Yes,Yes,beginner
agree,agree,agree,agree,Yes,Yes,Yes,No,intermediate
agree,agree,agree,agree,Yes,No,Yes,Yes,beginner
disagree,disagree,agree,agree,No,Yes,Yes,Yes,beginner
disagree,disagree,disagree,disagree,No,Yes,Yes,Yes,intermediate
agree,disagree,agree,agree,No,No,No,Yes,beginner
disagree,disagree,disagree,agree,No,Yes,No,Yes,beginner
agree,agree,agree,disagree,No,Yes,Yes,Yes,beginner
agree,agree,disagree,disagree,Yes,Yes,No,Yes,beginner
agree,agree,agree,disagree,Yes,No,Yes,Yes,intermediate
agree,agree,agree,agree,Yes,Yes,Yes,Yes,intermediate
agree,agree,disagree,disagree,Yes,Yes,Yes,No,intermediate
disagree,disagree,disagree,agree,Yes,Yes,Yes,No,intermediate
disagree,agree,agree,disagree,Yes,Yes,Yes,No,beginner
agree,agree,agree,disagree,No,No,No,Yes,beginner
agree,agree,disagree,agree,No,Yes,Yes,Yes,beginner
agree,disagree,disagree,agree,No,No,No,No,beginner
disagree,disagree,agree,agree,No,Yes,Yes,No,intermediate
agree,agree,disagree,agree,No,Yes,No,No,beginner
agree,agree,disagree,agree,Yes,Yes,Yes,No,intermediate
agree,agree,disagree,agree,No,No,No,No,beginner
disagree,disagree,agree,disagree,No,No,No,No,beginner
agree,disagree,agree,disagree,Yes,Yes,Yes,Yes,intermediate
disagree,agree,agree,agree,Yes,Yes,Yes,No,beginner
agree,agree,agree,disagree,No,Yes,Yes,No,beginner
disagree,agree,agree,agree,No,Yes,Yes,No,beginner
disagree,agree,disagree,disagree,Yes,Yes,No,Yes,beginner
agree,disagree,agree,agree,Yes,No,Yes,No,beginner
agree,disagree,disagree,disagree,Yes,No,No,Yes,beginner
disagree,disagree,agree,disagree,No,Yes,Yes,No,beginner
disagree,agree,disagree,agree,Yes,No,Yes,Yes,beginner
disagree,disagree,disagree,disagree,Yes,No,Yes,No,beginner
disagree,agree,agree,agree,Yes,No,Yes,No,beginner
agree,agree,disagree,agree,Yes,No,Yes,No,beginner
agree,agree,disagree,agree,No,Yes,Yes,No,beginner
agree,agree,agree,disagree,Yes,No,Yes,Yes,beginner
agree,agree,agree,disagree,Yes,Yes,Yes,Yes,beginner
disagree,disagree,disagree,disagree,Yes,No,No,No,beginner
disagree,agree,disagree,disagree,Yes,No,No,No,beginner
agree,agree,disagree,agree,Yes,No,Yes,Yes,beginner
agree,disagree,disagree,disagree,No,Yes,No,No,beginner
disagree,disagree,disagree,disagree,No,Yes,Yes,No,beginner
disagree,disagree,disagree,disagree,Yes,No,No,Yes,beginner
disagree,agree,agree,disagree,No,No,No,No,beginner
agree,disagree,agree,agree,Yes,Yes,Yes,Yes,beginner
disagree,agree,agree,agree,Yes,No,No,Yes,beginner
agree,agree,agree,agree,Yes,Yes,No,Yes,beginner
agree,agree,agree,agree,Yes,Yes,Yes,No,beginner
agree,agree,agree,agree,Yes,No,Yes,No,beginner
agree,disagree,agree,agree,Yes,No,Yes,Yes,beginner
disagree,disagree,agree,agree,Yes,No,Yes,No,beginner
disagree,disagree,disagree,agree,Yes,No,No,No,beginner
agree,disagree,agree,agree,No,No,No,No,beginner
disagree,disagree,agree,disagree,Yes,Yes,No,No,beginner
disagree,disagree,disagree,disagree,Yes,Yes,No,No,beginner
disagree,disagree,disagree,agree,No,Yes,No,No,beginner
agree,disagree,agree,agree,No,Yes,No,No,beginner
disagree,disagree,agree,agree,No,Yes,No,No,beginner
disagree,disagree,agree,disagree,Yes,No,No,No,beginner
agree,disagree,disagree,disagree,Yes,No,No,No,beginner
agree,agree,disagree,disagree,Yes,No,No,Yes,beginner
agree,agree,disagree,agree,Yes,No,No,No,beginner
agree,agree,disagree,disagree,No,Yes,No,Yes,intermediate
agree,agree,agree,agree,No,Yes,Yes,No,beginner
agree,agree,agree,agree,No,Yes,No,No,beginner
agree,disagree,agree,agree,No,Yes,Yes,Yes,beginner
agree,disagree,agree,disagree,Yes,Yes,No,No,beginner
agree,disagree,disagree,agree,Yes,No,No,Yes,beginner
agree,disagree,agree,disagree,Yes,No,No,Yes,beginner
disagree,disagree,agree,agree,Yes,No,Yes,Yes,beginner
disagree,agree,agree,disagree,No,Yes,No,Yes,beginner
disagree,disagree,agree,disagree,No,Yes,No,No,beginner
disagree,disagree,agree,disagree,Yes,Yes,Yes,Yes,intermediate
disagree,disagree,disagree,agree,Yes,No,No,Yes,beginner
agree,disagree,agree,agree,Yes,No,No,Yes,beginner
agree,disagree,agree,disagree,Yes,Yes,Yes,No,intermediate
agree,disagree,disagree,disagree,No,Yes,Yes,No,beginner
agree,disagree,disagree,agree,No,Yes,Yes,No,beginner
agree,agree,agree,agree,Yes,No,No,No,beginner
agree,agree,agree,agree,Yes,Yes,No,No,beginner
disagree,agree,agree,agree,No,Yes,No,No,beginner
disagree,agree,disagree,disagree,Yes,Yes,No,No,beginner
disagree,disagree,disagree,agree,Yes,Yes,No,No,beginner
agree,agree,agree,disagree,Yes,No,No,No,beginner
disagree,agree,agree,disagree,Yes,Yes,No,Yes,intermediate
agree,agree,agree,agree,Yes,No,No,Yes,beginner
agree,disagree,disagree,agree,Yes,Yes,Yes,No,intermediate
agree,agree,agree,agree,No,Yes,No,Yes,beginner
disagree,disagree,disagree,agree,Yes,No,Yes,No,beginner
disagree,agree,disagree,agree,Yes,Yes,No,Yes,intermediate
disagree,agree,disagree,agree,No,Yes,Yes,Yes,intermediate
agree,agree,disagree,disagree,Yes,No,No,No,beginner
agree,disagree,disagree,disagree,Yes,Yes,No,Yes,intermediate
agree,agree,disagree,disagree,No,Yes,No,No,beginner
disagree,agree,disagree,disagree,Yes,No,No,No,intermediate
agree,disagree,agree,agree,Yes,No,No,No,beginner
agree,disagree,agree,disagree,No,Yes,No,No,beginner
agree,agree,agree,disagree,No,Yes,No,No,beginner
agree,agree,disagree,agree,Yes,No,No,Yes,beginner
disagree,agree,agree,agree,Yes,Yes,No,Yes,beginner
agree,agree,agree,disagree,Yes,Yes,Yes,No,beginner
disagree,disagree,disagree,agree,No,No,No,Yes,intermediate
